unique_id,Agency Name,Site Name,Service Name,Service Name (2),Address,Site City,Site Postal Code,Application,Crisis_Phone,Description (Service),Eligibility,E_Mail,Hours,Languages,Office_Phone,Primary_Contact,Primary_Contact_Email,Toll_Free_Phone,Website,Taxonomy,Fees,Funding,DD Code,Physical Access,Category,FSA
361,East Scarborough Storefront,East Scarborough Storefront,Ontario Employment Services,,"4040 Lawrence Ave E Toronto, ON M1E 2R2",Toronto,M1E 2R2,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.ontario.ca/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",info@thestorefront.org,"Mon-Thu 9 am-7 pm, Fri 9 am-5 pm; July-August Mon-Fri 9 am-5 pm",English ; Farsi ; Tamil ; Urdu,416-208-9889,"Brittany Gurr, Manager, Collaborative Employment Services; Phone: 416-208-9889 ext 40",,,www.thestorefront.org,Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers,None,United Way - United Way Greater Toronto,Community Services (General),Wheelchair accessible automatic main entrance - -- ramp to main entrance ; Barrier-free washroom including door and stall,Community Services,M1E 
362,CAFCAN,CAFCAN,Ontario Employment Services,,"995 Arrow Rd Toronto, ON M9M 2Z5",Toronto,M9M 2Z5,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",info@cafcan.org,"Mon-Fri 9 am-4:30 pm, also Wed 4:30 pm-7 pm",English ; Arabic ; Twi,416-740-1056,,,,www.cafcan.org,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers,None,United Way - United Way Greater Toronto,Multicultural,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Community Services,M9M 
363,"Salvation Army, Central Ontario Recycling Centre",Toronto - St Clair,Family Thrift Store,Toronto - St Clair,"665 St Clair Ave W Toronto, ON M6C 1A7",Toronto,M6C 1A7,Not applicable,,"Drop-off site for clothing, textiles, household items, electronics, furniture and more Head office at 2360 South Service Rd, Oakville, 905-825-9208",Open to all,guestservices@tstores.ca,"Mon-Sat 9 am-9 pm * Donor welcome centre -- Mon-Fri 9 am-9pm, Sat 9 am-6 pm, Sun 10 am-6:30 pm",English,416-651-2825,,,,thriftstore.ca/locations,Household Goods Donation Programs ; Thrift Shops,Unknown,,Community Services (General),Wheelchair accessible non-powered double doors at entrance,Community Services,M6C 
364,"Salvation Army, Central Ontario Recycling Centre",Toronto - Parkdale,Family Thrift Store,Toronto - Parkdale,"1447 Queen St W Toronto, ON M6R 1A1",Toronto,M6R 1A1,Not applicable,,"Thrift shop * drop-off site for clothing, textiles, household items, electronics, furniture and more Head office at 2360 South Service Rd, Oakville, 905-825-9208",Open to all,guestservices@tstores.ca,"Mon-Sat 9 am-7 pm * Donor welcome centre Mon-Sat 9 am-7 pm, Sun 9 am-5:30 pm",English,416-536-3361,,,,thriftstore.ca/locations,Household Goods Donation Programs ; Thrift Shops,Unknown,,Community Services (General),Wheelchair accessible non-powered double doors at entrance,Community Services,M6R 
365,Miziwe Biik Aboriginal Employment and Training,Ontario Employment Services,Ontario Employment Services,,"167 Gerrard St E Toronto, ON M5A 2E4",Toronto,M5A 2E4,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees Works Employment Essentials Program -- 6 weeks program Second Career Program -- skills training and financial support for laid-off workers","Open to all, with focus on Aboriginal peoples Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention Works Employment Essentials Program -- for Ontario Works recipients of all ages who are close to job ready * referrals from Ontario Works required",reception@miziwebiik.com,Mon-Fri 8:30 am-4:30 pm,English,416-591-2310,"Denise Davad, Employment Resource Centre Manager",,1-877-980-6961,www.miziwebiik.com,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Indigenous Employment Programs ; Job Training Expense Assistance ~ Laid Off Workers,None,United Way - United Way Greater Toronto,Native Peoples,Wheelchair accessible automatic main entrance - main floor only ; Barrier-free washroom including door and stall - Employment Resource Centre,Community Services,M5A 
366,Newcomer Women's Services Toronto,Newcomer Women's Services Toronto,Ontario Employment Services,,"745 Danforth Ave, Suite 402 Toronto, ON M4J 1L4",Toronto,M4J 1L4,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees Youth Job Connection -- paid pre-employment training * job matching * paid job placements with placement supports for participants and hiring incentives for employers * mentorship * education and work transitions supports Youth Job Connection Summer -- summer job opportunities and part-time job placements during the year","Immigrant and refugee women including Canadian citizensSelf-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers  Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Youth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and work Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",info@newcomerwomen.org,"Mon-Fri 9 am-5 pm, also Thu 5 pm-6 pm",English ; French ; Albanian ; Arabic ; Bosnian ; Chinese (Cantonese) ; Chinese (Mandarin) ; Croatian ; Farsi ; German ; Hindi ; Italian ; Japanese ; Punjabi ; Russian ; Serbian ; Spanish ; Urdu ; other languages may be available,416-751-8886,"Tyler Batchelor, Settlement and Employment Program Assistant; Phone: 416-751-8886 ext 128; Email: tyler@newcomerwomen.org",tyler@newcomerwomen.org,,www.newcomerwomen.org,Business Financing ~ Women ; Comprehensive Job Assistance Centres ~ Women ; Human Resources Management Support ; Immigrant/Refugee Employment Programs ~ Women ; Job Training Expense Assistance ~ Laid Off Workers ~ Women ; Youth Employment Programs ~ Women,None,,Multicultural,Not Accessible - four steps at the front entrance,Community Services,M4J 
367,West Neighbourhood House,King Street Office,Ontario Employment Services,,"1033 King St W Toronto, ON M6K 3N3",Toronto,M6K 3N3,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees","Ages: 16 year(s) and up Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",angelaba@westnh.org,"Mon-Thu 9:30 am-5:30 pm, Fri 9 am-5 pm",English,416-848-7980,"Angela Barrass, Coordinator, Employment Services; Phone: 416-848-7980 ext 303",,,www.westnh.org/adults/index.php,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers,Unknown,United Way - United Way Greater Toronto,Community Centres,"Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door",Community Services,M6K 
368,St Stephen's Community House,Employment and Training Centre,Ontario Employment Services,,"1415 Bathurst St, Suite 100 Toronto, ON M5R 3H8",Toronto,M5R 3H8,Call the office for general information or to book an appointment call the Employment Ontario Contact Centre toll free number 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees Youth Job Connection -- paid pre-employment training * job matching * paid job placements with placement supports for participants and hiring incentives for employers * mentorship * education and work transitions supports Youth Job Connection Summer -- summer job opportunities and part-time job placements during the year","Ages: 15 year(s) and up Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Youth Job Connection -- youth 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- youth 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and work Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",infoETC@sschTO.ca,Mon-Fri 9 am-5 pm,English ; Italian ; Japanese ; Portuguese ; Spanish ; Tigrinya,416-925-2103 ext 4000,"Kim Patel, Director, Employment Services; Phone: 416-925-2103 ext 4273; Email: pkim@sschto.ca",pkim@sschto.ca,,www.jobhouse.ca,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers ; Youth Employment Programs,None,United Way - United Way Greater Toronto,Community Centres,Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Community Services,M5R 
369,TNO - The Neighbourhood Organization,Leaside Park Dr Office,Ontario Employment Services,,"1 Leaside Park Dr, Unit 7 Toronto, ON M4H 1R1",Toronto,M4H 1R1,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Youth Job Connection -- paid pre-employment training * job matching * paid job placements with placement supports for participants and hiring incentives for employers * mentorship * education and work transitions supports Youth Job Connection Summer -- summer job opportunities and part-time job placements during the year","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Youth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and work Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",employmentservices@tno-toronto.org,Mon-Fri 9 am-5 pm; Sat 10 am-4 pm,English ; Arabic ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Croatian ; Dari ; Farsi ; Gujarati ; Hindi ; Hungarian ; Pashto ; Polish ; Punjabi ; Romanian ; Russian ; Serbian ; Somali ; Tamil ; Urdu,416-467-0126,"Corine Hibbert-Samuels, Manager, Employment Services; Phone: 416-467-0126 ext 223; Email: csamuels@tno-toronto.org",csamuels@tno-toronto.org,,www.tno-toronto.org,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers ; Youth Employment Programs,None,United Way - United Way Greater Toronto,Community Centres,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Dedicated accessible washroom with all features,Community Services,M4H 
370,WoodGreen Community Services,Health Services,Health Services,,"12 Thorncliffe Park Dr Toronto, ON M4H 1N8",Toronto,M4H 1N8,By Appointment only,,"Health Promotion Clinic -- home visits in supportive housing site * health promotion, and educational services including blood pressure checks, glucose monitoring, medication reviews Healthy Future Program -- nutrition and healthy eating, falls prevention, diabetes education, mental health, healthy heart education and awareness, stroke prevention and education",Open to all,cccentralintake@woodgreen.org,Mon-Sun 9 am-5 pm * Fridays Health Promotion,English ; Language Line Services provides access to service in over 150 languages,416-572-3575,"Chandra Yaduvanshi, Supervisor, Assisted Living; Phone: 416-645-6000",,,www.woodgreen.org,Blood Pressure Screening ; Diabetes Screening ; Disease Prevention Programs ; Fall Prevention Programs ; General Health Education Programs ; General Mental Health Information/Education ; Home Health Care ; Medication Information/Management ; Nutrition Education ; Podiatry/Foot Care ; Wellness Programs,None,United Way - United Way Greater Toronto,Community Centres,Not Applicable,Community Services,M4H 
371,Parkdale Intercultural Association,Secondary Location,Parkdale Intercultural Association,Secondary Location,"1365 Queen St W Toronto, ON M6K 1M1",Toronto,M6K 1M1,Drop in or call for appointment,,"Settlement Program and Newcomer Settlement Program -- needs assessment and referral, information and orientation * translation and interpretation * assistance with government applications and form filling * citizenship classes and facilitation of ceremonies in partnership * drivers licence written test preparation classes * computer classes * participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto, childminding and TTC tokens available -- see separate entry Employment services * drop-in resource centre * referral to employment centres * job search training * resume preparation * workshops * access to computers, Internet, fax, photocopier Newcomer Youth Program -- social, educational and recreational services * information and outreach * employment assistance * peer tutoring * leadership development * in partnership with Parkdale Community Information Centre, 1303 Queen St W Educational and cultural activities * year round income tax clinic for up to 10 years past by appointment, seasonal income tax clinic with West Neighbourhood House * anti-racism and access and equity programs * community events, festivals Child Minding Training Program in partnership with Four Villages Community Health Centre, Davenport Perth Neighbourhood and Community Health Centre, and Queen West Community Health Centre Seniors Programs -- Saturday social and exercise program for Spanish or Vietnamese seniors * Tibetan Seniors Program * TaiChi, Line Dance and Yoga * Thursday afternoon English conversation class for Tibetan seniors",Open to all * LINC Program -- permanent residents/landed immigrants or Convention refugees,pia@piaparkdale.com,"Mon-Fri 9 am-5 pm, Sat 9:30 am-3 pm",English ; Filipino ; Hindi ; Hungarian ; Tibetan ; Vietnamese,416-536-1783,"Michael Nguyen, Executive Director",,,www.piaparkdale.com,Certificates/Forms Assistance ~ Immigrants/Refugees ; Citizenship Test Preparation ; Computer and Related Technology Classes ~ Immigrants/Refugees ; Conversation Partners ~ Older Adults ~ Tibetan Community ; Cultural Awareness/Competencies Training ; Cultural Transition Counselling ; English as a Second Language ; General Recreational Activities/Sports ~ Youth ~ Immigrants/Refugees ; Immigrant Benefits Assistance ; Immigrant/Refugee Employment Programs ; Interpretation/Translation ; Job Search Resource Centres ~ Immigrants/Refugees ; Leadership Development ~ Youth ~ Immigrants/Refugees ; Neighbourhood Multipurpose Centres ~ Immigrants/Refugees ; Newcomer Settlement Services ; Outreach Programs ~ Youth ~ Immigrants/Refugees ; Physical Fitness ~ Older Adults ~ Spanish Community ; Physical Fitness ~ Older Adults ~ Vietnamese Community ; Social Clubs/Events ~ Older Adults ~ Spanish Community ; Social Clubs/Events ~ Older Adults ~ Tibetan Community ; Social Clubs/Events ~ Older Adults ~ Vietnamese Community ; Specialized Information and Referral ~ Immigrants/Refugees ; Subject Tutoring ~ Immigrants/Refugees ; Tax Preparation Assistance ~ Immigrants/Refugees ; Youth Employment Programs ~ Immigrants/Refugees ; Youth Enrichment Programs ~ Immigrants/Refugees,None,,Multicultural,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Street parking close to entrance,Community Services,M6K 
372,"Salvation Army, Community and Family Services",Yorkminster Citadel Family Services,Yorkminster Citadel Family Services,,"1 Lord Seaton Rd Toronto, ON M2P 2C1",Toronto,M2P 2C1,"Call for appointment -- proof of identity, address and income required",,"Food bank * emergency material assistance including clothing and household items, as available * conversational English café * monthly luncheon for seniors * community kitchen * Christmas assistance program and residential summer camp for children",Open to people with low income in catchment area,liz_colley@can.salvationarmy.org,"Food bank -- Wed 1 pm-3 pm * Office -- Tue, Wed, Thu 9 am-4 pm -- by appointment only",English,416-222-9110 ext 2,"Liz Colley, Community and Family Services Manager",,,yorkminstercitadel.org/,Appliances ; Christmas Programs ; Conversation Partners ; Food Banks ; Food Preparation Facilities ; General Clothing Provision ; Residential Camps ~ Children ; Senior Meals,None,,Community Services (General),Wheelchair ramp at south side of building; accessible washrooms,Community Services,M2P 
373,National Council of Jewish Women of Canada,Toronto,Project LISA - Legal Information Support Access,,"890 Sheppard Ave W, Unit 1 Toronto, ON M3H 6B9",Toronto,M3H 6B9,Drop in or call for membership application,,Help obtaining a legal aid certificate for women who are involved in family court matters * referrals to vetted lawyers * referrals to community resources * court and legal accompaniment,Ages: 18 year(s) and up Women who have experienced domestic violence or high conflict separation * residency requirements,projectlisa@ncjwctoronto.org,Tue-Thu 9 am-4 pm,English ; Hebrew - Programs ; Urdu - Reception,416-633-5100,"Ariella Boehm, Director of Project Lisa; Phone: 416-633-5100 ext 224; Email: ariella@ncjwctoronto.org",ariella@ncjwctoronto.org,,www.projectlisa.ca,Crime Victim Accompaniment Services ~ Abused Women ; Legal Assistance Referral Services ~ Abused Women ; Specialized Information and Referral ~ Abused Women,None,,Community Services (General),Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Community Services,M3H 
374,Yorktown Family Services,West Toronto Youth Hub,Walk-in Counselling Services,,"1541 Jane St Toronto, ON M9N 2R3",Toronto,M9N 2R3,Walk in * no referral or appointment needed * last session begins 1 and a half hours prior to closing * information also available on Yorktown Family Services website,,"Brief therapy service * single session counselling offered by family therapists and social workers to address concerns such as parent-child conflict, difficulties at school, behaviour management, peer problems, issues related to separation and divorce, psycho-social adjustment, anxiety, depression * referral to other Yorktown services (for residents of the former City of York) or to essential services in other neighbourhoods * access to HUB services, including primary health care, employment, mentorship, harm reduction and other community agency resources","Ages: 12 year(s) - 29 year(s) Youth and young adults 12-29 years, and their families or caregivers * does not serve individual adults * does not offer crisis services * LGBTQ+ positive space",info@yorktownfamilyservices.com,"Tue 2 pm-5 pm, Thu 3 pm-7:30 pm * to attend a counselling session, clients must arrive no later than 1 and a half hours prior to closing",English ; Interpretive Services - interpreters available by telephone for other languages ; Translation services available on request,Intake 416-934-2424 ext 0 ; West Toronto Youth Hub 416-645-7575 ext 7,,,,www.yorktownfamilyservices.com,Adolescent/Youth Counselling ; Child Guidance ; General Counselling Services ~ Young Adults ; Human Trafficking Counselling ~ Youth,None,Regional / Municipal - Community Service Partnerships (CSP) ; United Way - United Way Greater Toronto,Children and Youth,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Assistance needed for internal doors,Community Services,M9N 
375,Tropicana Community Services Organization,Employment Centre,Ontario Employment Services,,"505 Consumers Rd, Suite 102 Toronto, ON M2J 4V8",Toronto,M2J 4V8,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.tcu.gov.on.ca/eng/employmentontario/,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention Youth Job Connection -- paid pre-employment training * job matching * paid job placements with placement supports for participants and hiring incentives for employers * mentorship * education and work transitions supports Youth Job Connection Summer -- summer job opportunities and part-time job placements during the year For employers: Canada-Ontario Job Grant -- financial support for individual employers to purchase training for their employees * available to small, medium and large businesses planning to deliver short-term training for existing or new employees","Focus on youth Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school Youth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and work Employers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",jobs@tropicanaemployment.ca,"Mon, Wed 9 am-5 pm, Tue, Thu 9 am-6:30 pm, Fri 9 am-4 pm",English ; Services available in many languages -- call for details,416-491-7000,"Migdalia Jones, Manager of Programs and Services; Phone: 416-491-7000 ext 222; Email: mjones@tropicanaemployment.ca",mjones@tropicanaemployment.ca,,www.tropicanaemployment.ca,Business Financing ; Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers ; Youth Employment Programs,None,United Way - United Way Greater Toronto,Multicultural,Wheelchair accessible building including main entrance and barrier free washrooms,Community Services,M2J 
377,Toronto Coalition for Better Child Care,Toronto Coalition for Better Child Care,Toronto Coalition for Better Child Care,,"489 College St, Suite 206 Toronto, ON M6G 1A5",Toronto,M6G 1A5,"Call, email or visit website",,"Resource and support for child care community * public awareness and advocacy group * advocates for universally accessible, high quality, nonprofit, regulated and publicly funded child care * speakers, publications, newsletter, online resources * campaigns and events Information and referral on early learning and child care services",Open to all,info@childcaretoronto.org,Mon-Fri 9 am-5 pm,English,416-538-7630,"Jane Mercer, Executive Coordinator",,,www.childcaretoronto.org,Children's Rights Groups ; Specialized Information and Referral ~ Child Care Issues ; Subject Specific Public Awareness/Education ~ Child Care Issues ; System Advocacy ~ Child Care Issues,Free ; Membership available,Regional / Municipal - Community Service Partnerships (CSP),Children and Youth,"Street parking ; Wheelchair accessible automatic main entrance ; Easy access to elevator - braille and voice/tone features, lowered buttons ; Barrier-free washroom including door and stall",Community Services,M6G 
378,WoodGreen Community Services,Victoria Park Avenue Site,Employment Services,,"1533 Victoria Park Ave Toronto, ON M1L 2T3",Toronto,M1L 2T3,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit www.ontario.ca/employmentontario,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations, local labour market, employment and training opportunities * on-the-job training, work experience * help in maintaining employment * information and referral to other employment and community services Second Career Program -- skills training and financial support for laid-off workers Services for employers -- help in identifying human resource skills requirements * matching of workplace needs to workers' skills, capabilities, interests and experience * support for developing on-the-job training plans and monitoring of placements to support retention","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employers Assisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of school",employmentservices@woodgreen.org,Mon-Fri 9:15 am-5:45 pm,"English ; Albanian - Reception, Interpretation ; Amharic ; Chinese (Cantonese) ; Farsi ; Hindi ; Polish ; Urdu",416-645-6000 ext 2900,"Qazi Hasan, Senior Manager, Employment Services",,,www.woodgreen.org/services/programs/employment-services-and-workforce-development/,Comprehensive Job Assistance Centres ; Human Resources Management Support ; Job Training Expense Assistance ~ Laid Off Workers,None,United Way - United Way Greater Toronto,Community Centres,Wheelchair accessible building,Community Services,M1L 
